SepalLength,SepalWidth,PetalLength,PetalWidth,Species,PetalRatio,SepalRatio
5.5,4.2,1.4,0.2,setosa,7,1.30952380952381
4.9,3.1,1.5,0.2,setosa,7.5,1.58064516129032
5,3.2,1.2,0.2,setosa,6,1.5625
5.5,3.5,1.3,0.2,setosa,6.5,1.57142857142857
4.9,3.6,1.4,0.1,setosa,14,1.36111111111111
4.4,3,1.3,0.2,setosa,6.5,1.46666666666667
5.1,3.4,1.5,0.2,setosa,7.5,1.5
5,3.5,1.3,0.3,setosa,4.33333333333333,1.42857142857143
4.5,2.3,1.3,0.3,setosa,4.33333333333333,1.95652173913044
4.4,3.2,1.3,0.2,setosa,6.5,1.375
5,3.5,1.6,0.6,setosa,2.66666666666667,1.42857142857143
5.1,3.8,1.9,0.4,setosa,4.75,1.34210526315789
4.8,3,1.4,0.3,setosa,4.66666666666667,1.6
5.1,3.8,1.6,0.2,setosa,8,1.34210526315789
4.6,3.2,1.4,0.2,setosa,7,1.4375
5.3,3.7,1.5,0.2,setosa,7.5,1.43243243243243
5,3.3,1.4,0.2,setosa,7,1.51515151515152
7,3.2,4.7,1.4,versicolor,3.35714285714286,2.1875
6.4,3.2,4.5,1.5,versicolor,3,2
6.9,3.1,4.9,1.5,versicolor,3.26666666666667,2.2258064516129
5.5,2.3,4,1.3,versicolor,3.07692307692308,2.39130434782609
6.5,2.8,4.6,1.5,versicolor,3.06666666666667,2.32142857142857
5.7,2.8,4.5,1.3,versicolor,3.46153846153846,2.03571428571429
6.3,3.3,4.7,1.6,versicolor,2.9375,1.90909090909091
4.9,2.4,3.3,1,versicolor,3.3,2.04166666666667
6.6,2.9,4.6,1.3,versicolor,3.53846153846154,2.27586206896552
5.2,2.7,3.9,1.4,versicolor,2.78571428571429,1.92592592592593
5,2,3.5,1,versicolor,3.5,2.5
5.9,3,4.2,1.5,versicolor,2.8,1.96666666666667
6,2.2,4,1,versicolor,4,2.72727272727273
6.1,2.9,4.7,1.4,versicolor,3.35714285714286,2.10344827586207
5.6,2.9,3.6,1.3,versicolor,2.76923076923077,1.93103448275862
6.7,3.1,4.4,1.4,versicolor,3.14285714285714,2.16129032258065
5.6,3,4.5,1.5,versicolor,3,1.86666666666667
5.8,2.7,4.1,1,versicolor,4.1,2.14814814814815
6.2,2.2,4.5,1.5,versicolor,3,2.81818181818182
5.6,2.5,3.9,1.1,versicolor,3.54545454545455,2.24
5.9,3.2,4.8,1.8,versicolor,2.66666666666667,1.84375
6.1,2.8,4,1.3,versicolor,3.07692307692308,2.17857142857143
6.3,2.5,4.9,1.5,versicolor,3.26666666666667,2.52
6.1,2.8,4.7,1.2,versicolor,3.91666666666667,2.17857142857143
6.4,2.9,4.3,1.3,versicolor,3.30769230769231,2.20689655172414
6.6,3,4.4,1.4,versicolor,3.14285714285714,2.2
6.8,2.8,4.8,1.4,versicolor,3.42857142857143,2.42857142857143
6.7,3,5,1.7,versicolor,2.94117647058824,2.23333333333333
6,2.9,4.5,1.5,versicolor,3,2.06896551724138
5.7,2.6,3.5,1,versicolor,3.5,2.19230769230769
5.5,2.4,3.8,1.1,versicolor,3.45454545454545,2.29166666666667
5.5,2.4,3.7,1,versicolor,3.7,2.29166666666667
5.8,2.7,3.9,1.2,versicolor,3.25,2.14814814814815
6,2.7,5.1,1.6,versicolor,3.1875,2.22222222222222
5.4,3,4.5,1.5,versicolor,3,1.8
6,3.4,4.5,1.6,versicolor,2.8125,1.76470588235294
6.7,3.1,4.7,1.5,versicolor,3.13333333333333,2.16129032258065
6.3,2.3,4.4,1.3,versicolor,3.38461538461538,2.73913043478261
5.6,3,4.1,1.3,versicolor,3.15384615384615,1.86666666666667
5.5,2.5,4,1.3,versicolor,3.07692307692308,2.2
5.5,2.6,4.4,1.2,versicolor,3.66666666666667,2.11538461538462
6.1,3,4.6,1.4,versicolor,3.28571428571429,2.03333333333333
5.8,2.6,4,1.2,versicolor,3.33333333333333,2.23076923076923
5,2.3,3.3,1,versicolor,3.3,2.17391304347826
5.6,2.7,4.2,1.3,versicolor,3.23076923076923,2.07407407407407
5.7,3,4.2,1.2,versicolor,3.5,1.9
5.7,2.9,4.2,1.3,versicolor,3.23076923076923,1.96551724137931
6.2,2.9,4.3,1.3,versicolor,3.30769230769231,2.13793103448276
5.1,2.5,3,1.1,versicolor,2.72727272727273,2.04
5.7,2.8,4.1,1.3,versicolor,3.15384615384615,2.03571428571429
6.3,3.3,6,2.5,virginica,2.4,1.90909090909091
5.8,2.7,5.1,1.9,virginica,2.68421052631579,2.14814814814815
7.1,3,5.9,2.1,virginica,2.80952380952381,2.36666666666667
6.3,2.9,5.6,1.8,virginica,3.11111111111111,2.17241379310345
6.5,3,5.8,2.2,virginica,2.63636363636364,2.16666666666667
7.6,3,6.6,2.1,virginica,3.14285714285714,2.53333333333333
4.9,2.5,4.5,1.7,virginica,2.64705882352941,1.96
7.3,2.9,6.3,1.8,virginica,3.5,2.51724137931035
6.7,2.5,5.8,1.8,virginica,3.22222222222222,2.68
7.2,3.6,6.1,2.5,virginica,2.44,2
6.5,3.2,5.1,2,virginica,2.55,2.03125
6.4,2.7,5.3,1.9,virginica,2.78947368421053,2.37037037037037
6.8,3,5.5,2.1,virginica,2.61904761904762,2.26666666666667
5.7,2.5,5,2,virginica,2.5,2.28
5.8,2.8,5.1,2.4,virginica,2.125,2.07142857142857
6.4,3.2,5.3,2.3,virginica,2.30434782608696,2
6.5,3,5.5,1.8,virginica,3.05555555555556,2.16666666666667
7.7,3.8,6.7,2.2,virginica,3.04545454545455,2.02631578947368
7.7,2.6,6.9,2.3,virginica,3,2.96153846153846
6,2.2,5,1.5,virginica,3.33333333333333,2.72727272727273
6.9,3.2,5.7,2.3,virginica,2.47826086956522,2.15625
5.6,2.8,4.9,2,virginica,2.45,2
7.7,2.8,6.7,2,virginica,3.35,2.75
6.3,2.7,4.9,1.8,virginica,2.72222222222222,2.33333333333333
6.7,3.3,5.7,2.1,virginica,2.71428571428571,2.03030303030303
7.2,3.2,6,1.8,virginica,3.33333333333333,2.25
6.2,2.8,4.8,1.8,virginica,2.66666666666667,2.21428571428571
6.1,3,4.9,1.8,virginica,2.72222222222222,2.03333333333333
6.4,2.8,5.6,2.1,virginica,2.66666666666667,2.28571428571429
7.2,3,5.8,1.6,virginica,3.625,2.4
7.4,2.8,6.1,1.9,virginica,3.21052631578947,2.64285714285714
7.9,3.8,6.4,2,virginica,3.2,2.07894736842105
6.4,2.8,5.6,2.2,virginica,2.54545454545455,2.28571428571429
6.3,2.8,5.1,1.5,virginica,3.4,2.25
6.1,2.6,5.6,1.4,virginica,4,2.34615384615385
7.7,3,6.1,2.3,virginica,2.65217391304348,2.56666666666667
6.3,3.4,5.6,2.4,virginica,2.33333333333333,1.85294117647059
6.4,3.1,5.5,1.8,virginica,3.05555555555556,2.06451612903226
6,3,4.8,1.8,virginica,2.66666666666667,2
6.9,3.1,5.4,2.1,virginica,2.57142857142857,2.2258064516129
6.7,3.1,5.6,2.4,virginica,2.33333333333333,2.16129032258065
6.9,3.1,5.1,2.3,virginica,2.21739130434783,2.2258064516129
6.8,3.2,5.9,2.3,virginica,2.56521739130435,2.125
6.7,3.3,5.7,2.5,virginica,2.28,2.03030303030303
6.7,3,5.2,2.3,virginica,2.26086956521739,2.23333333333333
6.3,2.5,5,1.9,virginica,2.63157894736842,2.52
6.5,3,5.2,2,virginica,2.6,2.16666666666667
6.2,3.4,5.4,2.3,virginica,2.34782608695652,1.82352941176471
5.9,3,5.1,1.8,virginica,2.83333333333333,1.96666666666667
